grant_id,full_name,faculty_id,faculty_name,match_score,proposed_is_copi
379652,Tomasz R Taylor,141152,"TAYLOR, TOMASZ R",100.0,True
379652,Brent D Nelson,933419,"NELSON, BRENT",100.0,True
380592,Carla Brodley,1797506,"BRODLEY, CARLA ELIZABETH",100.0,False
380757,Hai-Ping Cheng,2878915,"CHENG, HAI-PING",100.0,False
382307,Sara Wadia-Fascetti,141701,"WADIA-FASCETTI, SARA J",100.0,False
383236,Slava Epstein,144190,"EPSTEIN, SLAVA S",100.0,False
383556,Carla Mattos,1135712,"MATTOS, CARLA",100.0,False
384146,Hossein Mosallaei,959146,"MOSALLAEI, HOSSEIN",100.0,False
384243,Ali Abur,951814,"ABUR, ALI",100.0,False
384245,Nian Sun,140848,"SUN, NIAN",100.0,False
384646,Geoffrey C Trussell,141448,"TRUSSELL, GEOFFREY C",100.0,True
384649,Yingzi Lin,959197,"LIN, YINGZI",100.0,False
384649,Yung Joon Jung,959185,"JUNG, YUNG JOON",100.0,True
384837,David DeSteno,148266,"DESTENO, DAVID A",100.0,False
385045,Tiffany Joseph,1499310,"JOSEPH, TIFFANY DENISE",100.0,True
385053,Ming Su,1799518,"SU, MING",100.0,False
385371,Hossein Mosallaei,959146,"MOSALLAEI, HOSSEIN",100.0,False
385598,Kevin Fu,1538316,"FU, KEVIN",100.0,False
385633,Abhi Shelat,1214954,"SHELAT, ABHI",100.0,True
385686,Milica Stojanovic,938959,"STOJANOVIC, MILICA",100.0,False
385844,Celia Pearce,1799507,"PEARCE, CELIA",100.0,False
386442,Emanuela Barberis,141968,"BARBERIS, EMANUELA",100.0,False
386772,Panagiotis Manolios,401004,"MANOLIOS, PANAGIOTIS PETE",100.0,False
386891,Panagiotis Manolios,401004,"MANOLIOS, PANAGIOTIS PETE",100.0,False
387019,Ozlem Ergun,1793351,"ERGUN, OZLEM",100.0,True
387197,Herbert Levine,1383874,"LEVINE, HERBERT",100.0,False
387243,ming wang,65927,"WANG, MING L",100.0,False
387326,Dagmar Sternad,62737,"STERNAD, DAGMAR",100.0,False
387338,Jonathan Weitsman,64157,"WEITSMAN, JONATHAN",100.0,False
945639,Milica Stojanovic,938959,"STOJANOVIC, MILICA",100.0,False
946395,Deniz Erdogmus,60309,"ERDOGMUS, DENIZ",100.0,False
946622,Deniz Erdogmus,60309,"ERDOGMUS, DENIZ",100.0,False
946925,Deniz Erdogmus,60309,"ERDOGMUS, DENIZ",100.0,False
1007313,Carla Brodley,1797506,"BRODLEY, CARLA ELIZABETH",100.0,False
651874,Swastik Kar,548369,"KAR, SWASTIK",100.0,False
651877,Maxim Braverman,141127,"BRAVERMAN, MAXIM",100.0,False
651999,David Kaeli,148296,"KAELI, DAVID R",100.0,False
652305,Bradley Lehman,148269,"LEHMAN, BRADLEY M",100.0,False
652382,Gene Cooperman,141650,"COOPERMAN, GENE D",100.0,False
652630,Mary Jo Ondrechen,141740,"ONDRECHEN, MARY JO",100.0,False
