grant_id,project_num,core_project_num,profile_id,full_name,is_contact_pi,org_name,is_neu_org,rank_order
290045,1R13NS063446-01,R13NS063446,9273299,Richard Carl Labuda,True,CHIARI AND SYRINGOMYELIA FOUNDATION,False,0
290045,1R13NS063446-01,R13NS063446,2131794,Francis  Loth,False,CHIARI AND SYRINGOMYELIA FOUNDATION,False,1
290045,1R13NS063446-01,R13NS063446,9297173,Konstantin V Slavin,False,CHIARI AND SYRINGOMYELIA FOUNDATION,False,2
948469,1K99HL089459-01A1,K99HL089459,8604852,Daniel  Kim,True,HARVARD UNIVERSITY D/B/A HARVARD SCHOOL OF PUBLIC HEALTH,False,0
1181098,2P51RR000167-47A1,P51RR000167,1893351,CRAIG F FERRIS,True,UNIVERSITY OF WISCONSIN-MADISON,False,0
1181726,5P41RR000862-35,P41RR000862,6274976,Alexandros  Makriyannis,True,ROCKEFELLER UNIVERSITY,False,0
1209876,5P41RR004050-20,P41RR004050,1865780,RAIMOND Lester WINSLOW,True,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",False,0
1219250,2P41RR005959-19,P41RR005959,1865780,RAIMOND Lester WINSLOW,True,DUKE UNIVERSITY,False,0
1224938,5P41RR008630-13,P41RR008630,1932843,LEE  MAKOWSKI,True,ILLINOIS INSTITUTE OF TECHNOLOGY,False,0
1234832,5P41RR008630-13,P41RR008630,1932843,LEE  MAKOWSKI,True,ILLINOIS INSTITUTE OF TECHNOLOGY,False,0
1236364,5P41RR008630-13,P41RR008630,1932843,LEE  MAKOWSKI,True,ILLINOIS INSTITUTE OF TECHNOLOGY,False,0
607441,1R21CE001605-01,R21CE001605,7914271,Matthew J Miller,True,HARVARD UNIVERSITY D/B/A HARVARD SCHOOL OF PUBLIC HEALTH,False,0
639967,1R01AI076372-01A2,R01AI076372,2419436,Kim  Lewis,True,NORTHEASTERN UNIVERSITY,True,0
641019,1R21CA135226-01A1,R21CA135226,1876541,HAVA Karsenty AVRAHAM,True,BETH ISRAEL DEACONESS MEDICAL CENTER,False,0
642082,1K23MH086328-01,K23MH086328,8537090,Christie Jade Rizzo,True,RHODE ISLAND HOSPITAL,False,0
642088,7R01GM090259-03,R01GM090259,2102015,GEORGE A O'DOHERTY,True,NORTHEASTERN UNIVERSITY,True,0
643158,1R01EY019281-01A1,R01EY019281,8872416,Peter John Bex,True,SCHEPENS EYE RESEARCH INSTITUTE,False,0
645905,2R56CA096867-06A1,R56CA096867,6951649,CARLA  MATTOS,True,NORTH CAROLINA STATE UNIVERSITY RALEIGH,False,0
646284,7R03DA026533-02,R03DA026533,8031062,SPIRO  PAVLOPOULOS,True,NORTHEASTERN UNIVERSITY,True,0
646494,1R01HL090882-01A2,R01HL090882,1867929,Diomedes E. Logothetis,True,VIRGINIA COMMONWEALTH UNIVERSITY,False,0
647427,1R01DA026795-01,R01DA026795,6274976,Alexandros  Makriyannis,True,NORTHEASTERN UNIVERSITY,True,0
647662,1R01HD058301-01A2,R01HD058301,6880279,SERGEI V ADAMOVICH,True,NEW JERSEY INSTITUTE OF TECHNOLOGY,False,0
648400,1R01GM086507-01,R01GM086507,6277680,JOHN R ENGEN,True,NORTHEASTERN UNIVERSITY,True,0
648460,1R01EY018664-01A2,R01EY018664,8872416,Peter John Bex,True,SCHEPENS EYE RESEARCH INSTITUTE,False,0
648545,1G13LM010073-01,G13LM010073,8621541,JONATHAN  KAHN,True,HAMLINE UNIVERSITY,False,0
648600,1R15HL097332-01,R15HL097332,6194541,Marsha W ROLLE,True,WORCESTER POLYTECHNIC INSTITUTE,False,0
649952,1F32AG034809-01,F32AG034809,9647638,Dori Cousins Woods,True,MASSACHUSETTS GENERAL HOSPITAL,False,0
650046,7R01NS065263-06,R01NS065263,8958225,Jeffrey Neil Agar,True,NORTHEASTERN UNIVERSITY,True,0
650194,1R01AI085585-01,R01AI085585,2419436,Kim  Lewis,True,NORTHEASTERN UNIVERSITY,True,0
651308,1R21MH083038-01A1,R21MH083038,8871066,Jonathan  Delman,False,NORTHEASTERN UNIVERSITY,True,0
651308,1R21MH083038-01A1,R21MH083038,1890648,Alisa K. Lincoln,True,NORTHEASTERN UNIVERSITY,True,1
651327,1F32DA026697-01,F32DA026697,9113546,CAMRON D BRYANT,True,UNIVERSITY OF CHICAGO,False,0
651624,3R01AI082577-02S1,R01AI082577,8915285,Robert Kirwan Campbell,False,NORTHEASTERN UNIVERSITY,True,0
651624,3R01AI082577-02S1,R01AI082577,1922603,MICHAEL P POLLASTRI,True,NORTHEASTERN UNIVERSITY,True,1
651696,1K01HD059983-01A1,K01HD059983,9105715,Eugene  Tunik,True,UNIV OF MED/ DENT OF NJ-SCH/HLTH REL PRO,False,0
651772,1R43GM085933-01A1,R43GM085933,1932843,LEE  MAKOWSKI,False,"SHAMROCK STRUCTURES, LLC",False,0
651772,1R43GM085933-01A1,R43GM085933,9295308,Richard L. Walter,True,"SHAMROCK STRUCTURES, LLC",False,1
701702,1R03DA027113-01,R03DA027113,9632867,Ganesh A Thakur,True,NORTHEASTERN UNIVERSITY,True,0
704444,7R01GM088839-03,R01GM088839,2102015,GEORGE A O'DOHERTY,True,NORTHEASTERN UNIVERSITY,True,0
706480,1R01ES017514-01A1,R01ES017514,7551861,JULIA Green BRODY,True,SILENT SPRING INSTITUTE,False,0
706480,1R01ES017514-01A1,R01ES017514,1911156,Philip M. Brown,False,SILENT SPRING INSTITUTE,False,1
706480,1R01ES017514-01A1,R01ES017514,9659033,Rachel Adele Morello-Frosch,False,SILENT SPRING INSTITUTE,False,2
1096325,2P42ES013660-05,P42ES013660,1911156,Philip M. Brown,True,BROWN UNIVERSITY,False,0
1181099,5P51RR000167-48,P51RR000167,1893351,CRAIG F FERRIS,True,UNIVERSITY OF WISCONSIN-MADISON,False,0
1199033,5P41RR000862-36,P41RR000862,1867929,Diomedes E. Logothetis,True,ROCKEFELLER UNIVERSITY,False,0
1208072,5P41RR008630-14,P41RR008630,1932843,LEE  MAKOWSKI,True,ILLINOIS INSTITUTE OF TECHNOLOGY,False,0
1209877,2P41RR004050-21,P41RR004050,1865780,RAIMOND Lester WINSLOW,True,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",False,0
1219249,5P41RR005959-20,P41RR005959,1865780,RAIMOND Lester WINSLOW,True,DUKE UNIVERSITY,False,0
1236363,5P41RR008630-14,P41RR008630,1932843,LEE  MAKOWSKI,True,ILLINOIS INSTITUTE OF TECHNOLOGY,False,0
700848,1R01AI085005-01A1,R01AI085005,2419436,Kim  Lewis,True,NORTHEASTERN UNIVERSITY,True,0
702756,1R56AI089925-01,R56AI089925,8774201,HOOMAN  NOORCHASHM,True,UNIVERSITY OF PENNSYLVANIA,False,0
703000,1R01DA031020-01,R01DA031020,1877433,JACK  BERGMAN,True,MCLEAN HOSPITAL,False,0
703000,1R01DA031020-01,R01DA031020,6274976,Alexandros  Makriyannis,False,MCLEAN HOSPITAL,False,1
703241,1U54CA151881-01,U54CA151881,1881249,Vladimir P Torchilin,True,NORTHEASTERN UNIVERSITY,True,0
703634,1R15NS071455-01,R15NS071455,9649370,Francis  Loth,True,UNIVERSITY OF AKRON,False,0
703773,1U01CA151452-01,U01CA151452,1966327,Mansoor M. Amiji,True,NORTHEASTERN UNIVERSITY,True,0
703773,1U01CA151452-01,U01CA151452,8229919,Zhenfeng  Duan,False,NORTHEASTERN UNIVERSITY,True,1
704104,1R21HL102773-01,R21HL102773,9706986,Guohao  Dai,True,RENSSELAER POLYTECHNIC INSTITUTE,False,0
704363,1R01HG005824-01,R01HG005824,2419436,Kim  Lewis,True,NORTHEASTERN UNIVERSITY,True,0
705205,1K01AA019694-01,K01AA019694,7261471,Robert F. Leeman,True,YALE UNIVERSITY,False,0
708079,1R01EB012117-01,R01EB012117,9567340,Mark Jonathan Niedre,True,NORTHEASTERN UNIVERSITY,True,0
708419,1F32CA144210-01A1,F32CA144210,9757056,Bryan Quilty Spring,True,MASSACHUSETTS GENERAL HOSPITAL,False,0
709893,1R01CA134951-01A2,R01CA134951,1881249,Vladimir P Torchilin,True,NORTHEASTERN UNIVERSITY,True,0
710228,1R01HL106788-01,R01HL106788,8802721,Gabor  Balazsi,False,UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,False,0
710228,1R01HL106788-01,R01HL106788,1861255,Maria Laura Gennaro,True,UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,False,1
710228,1R01HL106788-01,R01HL106788,1871411,Gilla  Kaplan,False,UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,False,2
710228,1R01HL106788-01,R01HL106788,10421950,Alfred A Lardizabal,False,UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,False,3
710228,1R01HL106788-01,R01HL106788,1888841,RICHARD  PINE,False,UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,False,4
710228,1R01HL106788-01,R01HL106788,8346526,Eduardo  Sontag,False,UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,False,5
710697,1R01GM088230-01A1,R01GM088230,8653513,S. Veronica  Godoy-Carter,True,NORTHEASTERN UNIVERSITY,True,0
710741,1K01AG033643-01A2,K01AG033643,9482647,Jane Steele Saczynski,True,UNIV OF MASSACHUSETTS MED SCH WORCESTER,False,0
711726,1R21NS066984-01,R21NS066984,1966327,Mansoor M. Amiji,True,NORTHEASTERN UNIVERSITY,True,0
711904,1R21CA135594-01A2,R21CA135594,1966327,Mansoor M. Amiji,True,NORTHEASTERN UNIVERSITY,True,0
711993,4R00HL089459-02,R00HL089459,8604852,Daniel  Kim,True,RAND CORPORATION,False,0
712603,7R01DA030989-03,R01DA030989,1897870,Raymond G. Booth,True,NORTHEASTERN UNIVERSITY,True,0
712603,7R01DA030989-03,R01DA030989,1870174,DRAKE  MORGAN,False,NORTHEASTERN UNIVERSITY,True,1
713892,1R15AG034915-01A1,R15AG034915,9017036,John W. Devlin,True,NORTHEASTERN UNIVERSITY,True,0
714230,1P42ES017198-01A1,P42ES017198,9338949,Akram N Alshawabkeh,True,NORTHEASTERN UNIVERSITY,True,0
714290,7R01CA138899-02,R01CA138899,1896696,ANAND R ASTHAGIRI,True,NORTHEASTERN UNIVERSITY,True,0
716334,1R21NS071256-01,R21NS071256,8958225,Jeffrey Neil Agar,True,BRANDEIS UNIVERSITY,False,0
716688,1R01MH085021-01A1,R01MH085021,7914271,Matthew J Miller,True,HARVARD UNIVERSITY D/B/A HARVARD SCHOOL OF PUBLIC HEALTH,False,0
718219,1R21HL098750-01,R21HL098750,9567340,Mark Jonathan Niedre,True,NORTHEASTERN UNIVERSITY,True,0
718625,1S10RR028004-01,S10RR028004,1865780,RAIMOND Lester WINSLOW,True,JOHNS HOPKINS UNIVERSITY,False,0
1089392,1P50HL105185-01,P50HL105185,7033968,Carmen Castaneda Sceppa,True,NORTHEASTERN UNIVERSITY,True,0
1091200,1U54CA151881-01,U54CA151881,1881249,Vladimir P Torchilin,True,NORTHEASTERN UNIVERSITY,True,0
1094895,1U54CA151881-01,U54CA151881,1881249,Vladimir P Torchilin,True,NORTHEASTERN UNIVERSITY,True,0
1095629,1P42ES017198-01A1,P42ES017198,9338949,Akram N Alshawabkeh,True,NORTHEASTERN UNIVERSITY,True,0
1095880,1P20ES018169-01,P20ES018169,10442039,Phil  Brown,True,BROWN UNIVERSITY,False,0
1096022,1P42ES017198-01A1,P42ES017198,7008865,DAVID R KAELI,True,NORTHEASTERN UNIVERSITY,True,0
1097363,1P42ES017198-01A1,P42ES017198,10701442,Michael B Silevitch,True,NORTHEASTERN UNIVERSITY,True,0
1097697,1P42ES017198-01A1,P42ES017198,8861454,Thomas Clair Sheahan,True,NORTHEASTERN UNIVERSITY,True,0
